,CustomerID,Freq,SaleAmount,ElapsedDays,Freq_log,SaleAmount_log,ElapsedDays_log,ClusterLabel
122,12500,61,2678,24,4.127134385045092,7.893198869544609,3.2188758248682006,2
123,12501,149,1783,337,5.0106352940962555,7.486613313139955,5.823045895483019,3
124,12502,147,820,96,4.997212273764115,6.710523109452428,4.574710978503383,3
125,12504,9,90,19,2.302585092994046,4.51085950651685,2.995732273553991,0
126,12506,23,23,233,3.1780538303479458,3.1780538303479458,5.455321115357702,1
127,12507,21,894,135,3.091042453358316,6.796823718274855,4.912654885736052,3
128,12508,68,271,27,4.23410650459726,5.605802066295998,3.332204510175204,0
129,12509,7,55,285,2.0794415416798357,4.02535169073515,5.655991810819852,1
130,12510,33,353,143,3.5263605246161616,5.869296913133774,4.969813299576001,3
131,12512,31,96,67,3.4657359027997265,4.574710978503383,4.219507705176107,1
132,12513,35,462,113,3.58351893845611,6.137727054086234,4.736198448394496,3
133,12514,51,440,268,3.9512437185814275,6.089044875446846,5.594711379601839,3
134,12515,16,131,354,2.833213344056216,4.882801922586371,5.872117789475416,1
135,12516,26,875,78,3.295836866004329,6.775366090936392,4.3694478524670215,3
136,12517,279,1361,29,5.634789603169249,7.216709486709457,3.4011973816621555,2
137,12518,124,1318,1,4.8283137373023015,7.1846291527173145,0.6931471805599453,2
138,12519,17,175,64,2.8903717578961645,5.170483995038151,4.174387269895637,1
139,12520,152,1439,80,5.030437921392435,7.272398392570047,4.394449154672439,3
140,12521,38,309,143,3.6635616461296463,5.736572297479192,4.969813299576001,3
141,12522,12,194,40,2.5649493574615367,5.272999558563747,3.713572066704308,0
142,12523,106,865,20,4.672828834461906,6.763884908562435,3.044522437723423,2
143,12524,144,3699,10,4.976733742420574,8.216088098632316,2.3978952727983707,2
144,12526,71,632,1,4.276666119016055,6.450470422144176,0.6931471805599453,2
145,12527,18,234,82,2.9444389791664403,5.459585514144159,4.418840607796598,1
146,12528,92,756,10,4.532599493153256,6.6293632534374485,2.3978952727983707,2
147,12530,66,913,60,4.204692619390966,6.81783057145415,4.110873864173311,3
148,12531,17,45,15,2.8903717578961645,3.828641396489095,2.772588722239781,0
149,12532,16,153,31,2.833213344056216,5.0369526024136295,3.4657359027997265,0
150,12534,63,651,131,4.1588830833596715,6.480044561926653,4.882801922586371,3
151,12535,34,219,92,3.5553480614894135,5.393627546352362,4.532599493153256,3
152,12536,261,2803,44,5.568344503761097,7.938802248154481,3.8066624897703196,2
153,12538,21,191,30,3.091042453358316,5.2574953720277815,3.4339872044851463,0
154,12539,273,2067,23,5.6131281063880705,7.63433723562832,3.1780538303479458,2
155,12540,478,6685,20,6.171700597410915,8.807771066980044,3.044522437723423,2
156,12541,52,680,30,3.970291913552122,6.523562306149512,3.4339872044851463,3
157,12544,19,136,37,2.995732273553991,4.919980925828125,3.6375861597263857,0
158,12545,50,523,76,3.9318256327243257,6.261491684321042,4.343805421853684,3
159,12546,69,633,47,4.248495242049359,6.452048954437226,3.871201010907891,3
160,12547,8,134,198,2.1972245773362196,4.90527477843843,5.293304824724492,1
161,12548,5,49,167,1.791759469228055,3.912023005428146,5.123963979403259,1
162,12550,57,569,80,4.060443010546419,6.345636360828596,4.394449154672439,3
163,12551,10,100,358,2.3978952727983707,4.61512051684126,5.883322388488279,1
164,12552,20,88,39,3.044522437723423,4.48863636973214,3.6888794541139363,0
165,12553,191,1965,9,5.2574953720277815,7.583756300707112,2.302585092994046,2
166,12556,119,355,51,4.787491742782046,5.87493073085203,3.9512437185814275,3
167,12557,33,4384,17,3.5263605246161616,8.385944904806284,2.8903717578961645,2
168,12558,11,196,8,2.4849066497880004,5.2832037287379885,2.1972245773362196,0
169,12559,21,283,311,3.091042453358316,5.648974238161206,5.7430031878094825,1
170,12560,105,1110,6,4.663439094112067,7.01301578963963,1.9459101490553132,2
171,12561,16,177,303,2.833213344056216,5.181783550292085,5.717027701406222,1
172,12562,168,1779,9,5.1298987149230735,7.484368643286131,2.302585092994046,2
173,12564,21,133,262,3.091042453358316,4.897839799950911,5.572154032177765,1
174,12565,9,80,289,2.302585092994046,4.394449154672439,5.66988092298052,1
175,12566,19,265,87,2.995732273553991,5.583496308781699,4.477336814478207,1
176,12567,446,4305,23,6.102558594613569,8.367764677924308,3.1780538303479458,2
177,12569,188,1801,3,5.241747015059643,7.496652438168283,1.3862943611198906,2
178,12571,34,523,40,3.5553480614894135,6.261491684321042,3.713572066704308,3
179,12572,60,452,9,4.110873864173311,6.115892125483034,2.302585092994046,0
180,12573,28,84,228,3.367295829986474,4.442651256490317,5.43372200355424,1
181,12574,11,61,316,2.4849066497880004,4.127134385045092,5.75890177387728,1
182,12576,88,967,36,4.48863636973214,6.875232087276577,3.6109179126442243,3
183,12577,146,469,36,4.990432586778736,6.152732694704104,3.6109179126442243,3
184,12578,114,1196,22,4.74493212836325,7.087573705557973,3.1354942159291497,2
185,12579,29,285,79,3.4011973816621555,5.655991810819852,4.382026634673881,3
186,12580,24,238,247,3.2188758248682006,5.476463551931511,5.5134287461649825,1
187,12581,15,161,40,2.772588722239781,5.087596335232384,3.713572066704308,0
188,12582,22,300,239,3.1354942159291497,5.707110264748875,5.480638923341991,1
189,12583,247,5060,3,5.5134287461649825,8.529319371214077,1.3862943611198906,2
190,12584,96,416,4,4.574710978503383,6.0330862217988015,1.6094379124341003,0
191,12585,87,1279,235,4.477336814478207,7.154615356913663,5.4638318050256105,3
192,12586,11,79,18,2.4849066497880004,4.382026634673881,2.9444389791664403,0
193,12587,4,51,8,1.6094379124341003,3.9512437185814275,2.1972245773362196,0
194,12588,10,53,40,2.3978952727983707,3.9889840465642745,3.713572066704308,1
195,12589,35,306,29,3.58351893845611,5.726847747587197,3.4011973816621555,0
196,12590,68,4283,212,4.23410650459726,8.36264243156764,5.3612921657094255,3
197,12591,26,228,318,3.295836866004329,5.43372200355424,5.765191102784844,1
198,12592,18,290,93,2.9444389791664403,5.673323267171493,4.543294782270004,3
199,12593,21,206,109,3.091042453358316,5.332718793265369,4.700480365792417,1
200,12594,118,1777,38,4.77912349311153,7.48324441607385,3.6635616461296463,2
201,12596,27,474,52,3.332204510175204,6.163314804034641,3.970291913552122,3
202,12597,206,2236,20,5.332718793265369,7.71289096149013,3.044522437723423,2
203,12598,132,1964,10,4.890349128221754,7.583247524303362,2.3978952727983707,2
204,12599,62,956,30,4.143134726391533,6.863803391452954,3.4339872044851463,3
205,12600,64,774,29,4.174387269895637,6.652863029353347,3.4011973816621555,3
206,12601,28,245,190,3.367295829986474,5.5053315359323625,5.25227342804663,3
207,12602,12,162,59,2.5649493574615367,5.093750200806762,4.0943445622221,1
208,12603,2,63,22,1.0986122886681098,4.1588830833596715,3.1354942159291497,1
209,12604,16,201,80,2.833213344056216,5.308267697401205,4.394449154672439,1
210,12607,101,1228,61,4.624972813284271,7.113956109566034,4.127134385045092,3
211,12609,60,648,79,4.110873864173311,6.47543271670409,4.382026634673881,3
212,12610,106,1049,23,4.672828834461906,6.956545443151569,3.1780538303479458,2
213,12611,65,846,53,4.189654742026425,6.741700694652055,3.9889840465642745,3
214,12612,19,262,75,2.995732273553991,5.572154032177765,4.330733340286331,3
215,12613,153,1644,58,5.0369526024136295,7.405495663199472,4.07753744390572,3
216,12614,20,76,278,3.044522437723423,4.343805421853684,5.631211781821365,1
217,12615,105,1376,3,4.663439094112067,7.227662498728654,1.3862943611198906,2
218,12616,32,284,96,3.4965075614664802,5.652489180268651,4.574710978503383,3
219,12617,41,210,30,3.7376696182833684,5.351858133476067,3.4339872044851463,0
220,12618,11,96,22,2.4849066497880004,4.574710978503383,3.1354942159291497,0
221,12619,90,3378,17,4.51085950651685,8.12533508671429,2.8903717578961645,2
222,12620,92,1181,15,4.532599493153256,7.074963197966044,2.772588722239781,2
223,12621,467,7440,2,6.148468295917647,8.914760527397261,1.0986122886681098,2
224,12622,11,69,233,2.4849066497880004,4.248495242049359,5.455321115357702,1
225,12623,18,191,277,2.9444389791664403,5.2574953720277815,5.627621113690637,1
226,12624,38,355,107,3.6635616461296463,5.87493073085203,4.68213122712422,3
227,12625,86,1612,212,4.465908118654584,7.385851078125209,5.3612921657094255,3
228,12626,294,3453,24,5.68697535633982,8.147288258706624,3.2188758248682006,2
229,12627,230,2752,11,5.442417710521793,7.920446505142607,2.4849066497880004,2
230,12628,41,448,5,3.7376696182833684,6.1070228877422545,1.791759469228055,0
231,12630,64,548,10,4.174387269895637,6.3080984415095305,2.3978952727983707,0
232,12631,31,236,58,3.4657359027997265,5.4680601411351315,4.07753744390572,3
233,12633,101,1162,59,4.624972813284271,7.0587581525186645,4.0943445622221,3
234,12635,101,1172,90,4.624972813284271,7.067319848653476,4.51085950651685,3
235,12637,382,2994,68,5.948034989180646,8.00469951054955,4.23410650459726,2
236,12638,39,577,34,3.6888794541139363,6.359573868672378,3.5553480614894135,0
237,12639,22,201,239,3.1354942159291497,5.308267697401205,5.480638923341991,1
238,12640,53,311,24,3.9889840465642745,5.7430031878094825,3.2188758248682006,0
239,12641,10,72,116,2.3978952727983707,4.290459441148391,4.762173934797756,1
240,12642,47,552,26,3.871201010907891,6.315358001522335,3.295836866004329,0
241,12643,24,1808,129,3.2188758248682006,7.500529485395295,4.867534450455582,3
242,12644,31,325,130,3.4657359027997265,5.786897381366708,4.875197323201151,3
243,12645,73,1084,34,4.30406509320417,6.98933526597456,3.5553480614894135,3
244,12646,45,897,5,3.828641396489095,6.8001700683022,1.791759469228055,0
245,12647,121,1431,23,4.804021044733257,7.266827347520591,3.1780538303479458,2
246,12648,21,160,155,3.091042453358316,5.081404364984463,5.049856007249537,1
247,12649,31,586,108,3.4657359027997265,6.375024819828097,4.6913478822291435,3
248,12650,20,254,4,3.044522437723423,5.541263545158426,1.6094379124341003,0
249,12651,9,78,335,2.302585092994046,4.3694478524670215,5.817111159963204,1
250,12652,48,505,332,3.8918202981106265,6.226536669287466,5.808142489980444,3
251,12653,43,919,149,3.784189633918261,6.824373670043086,5.0106352940962555,3
252,12654,38,264,11,3.6635616461296463,5.579729825986222,2.4849066497880004,0
253,12656,126,1723,18,4.844187086458591,7.452402451223638,2.9444389791664403,2
254,12657,47,1044,12,3.871201010907891,6.951772164398911,2.5649493574615367,0
255,12658,36,320,19,3.6109179126442243,5.771441123130016,2.995732273553991,0
256,12659,5,105,30,1.791759469228055,4.663439094112067,3.4339872044851463,1
257,12660,13,127,12,2.6390573296152584,4.852030263919617,2.5649493574615367,0
258,12662,230,2058,1,5.442417710521793,7.629975707027789,0.6931471805599453,2
259,12664,37,1203,9,3.6375861597263857,7.093404625868766,2.302585092994046,0
260,12665,3,37,325,1.3862943611198906,3.6375861597263857,5.786897381366708,1
261,12667,33,395,59,3.5263605246161616,5.981414211254481,4.0943445622221,3
262,12668,161,1634,12,5.087596335232384,7.399398083331354,2.5649493574615367,2
263,12669,101,1115,151,4.624972813284271,7.017506142941256,5.0238805208462765,3
264,12670,92,1397,11,4.532599493153256,7.242797922793756,2.4849066497880004,2
265,12672,10,78,330,2.3978952727983707,4.3694478524670215,5.802118375377063,1
266,12673,42,351,6,3.7612001156935624,5.863631175598097,1.9459101490553132,0
267,12674,83,1133,39,4.430816798843313,7.033506484287697,3.6888794541139363,3
268,12676,45,670,25,3.828641396489095,6.508769136971682,3.258096538021482,0
269,12678,165,10923,43,5.111987788356544,9.298717482593595,3.784189633918261,2
270,12679,48,554,59,3.8918202981106265,6.318968113746434,4.0943445622221,3
271,12680,52,443,1,3.970291913552122,6.095824562432225,0.6931471805599453,0
272,12681,638,7536,15,6.459904454377535,8.92757950384347,2.772588722239781,2
273,12682,524,5555,4,6.263398262591624,8.622633703874234,1.6094379124341003,2
274,12683,344,4987,5,5.84354441703136,8.514790306799927,1.791759469228055,2
275,12684,105,1985,8,4.663439094112067,7.593877844605118,2.1972245773362196,2
276,12685,157,1523,29,5.062595033026967,7.329093736246592,3.4011973816621555,2
277,12686,7,107,372,2.0794415416798357,4.68213122712422,5.921578419643816,1
278,12688,171,3028,114,5.147494476813453,8.015987811027237,4.74493212836325,3
279,12689,72,628,26,4.290459441148391,6.444131256700441,3.295836866004329,0
280,12690,16,106,206,2.833213344056216,4.672828834461906,5.332718793265369,1
281,12691,32,394,29,3.4965075614664802,5.978885764901122,3.4011973816621555,0
282,12693,39,255,128,3.6888794541139363,5.545177444479562,4.859812404361672,3
283,12694,37,509,71,3.6375861597263857,6.234410725718371,4.276666119016055,3
284,12695,27,220,8,3.332204510175204,5.3981627015177525,2.1972245773362196,0
285,12697,41,508,29,3.7376696182833684,6.2324480165505225,3.4011973816621555,0
286,12700,268,2967,8,5.594711379601839,7.995643604287271,2.1972245773362196,2
287,12701,53,678,80,3.9889840465642745,6.520621127558696,4.394449154672439,3
288,12702,12,53,20,2.5649493574615367,3.9889840465642745,3.044522437723423,0
289,12703,21,164,72,3.091042453358316,5.10594547390058,4.290459441148391,1
290,12704,88,1006,8,4.48863636973214,6.914730892718563,2.1972245773362196,2
291,12705,334,3997,16,5.814130531825066,8.293549515060345,2.833213344056216,2
292,12707,33,256,292,3.5263605246161616,5.54907608489522,5.680172609017068,3
293,12708,157,1307,30,5.062595033026967,7.176254532017144,3.4339872044851463,2
294,12709,207,3912,16,5.337538079701318,8.272059622210412,2.833213344056216,2
295,12710,77,851,97,4.356708826689592,6.747586526829315,4.584967478670572,3
296,12712,133,1062,29,4.897839799950911,6.968850378341948,3.4011973816621555,2
297,12713,38,508,1,3.6635616461296463,6.2324480165505225,0.6931471805599453,0
298,12714,259,3069,10,5.560681631015528,8.029432840581244,2.3978952727983707,2
299,12715,20,192,107,3.044522437723423,5.262690188904886,4.68213122712422,1
300,12716,69,708,4,4.248495242049359,6.5638555265321274,1.6094379124341003,2
301,12717,55,506,152,4.02535169073515,6.2285110035911835,5.030437921392435,3
302,12718,19,203,72,2.995732273553991,5.318119993844216,4.290459441148391,1
303,12719,39,374,6,3.6888794541139363,5.926926025970411,1.9459101490553132,0
304,12720,354,4672,3,5.872117789475416,8.449556542700426,1.3862943611198906,2
305,12721,161,1959,32,5.087596335232384,7.580699752224563,3.4965075614664802,2
306,12722,53,566,86,3.9889840465642745,6.340359303727752,4.465908118654584,3
307,12723,69,434,4,4.248495242049359,6.075346031088684,1.6094379124341003,0
308,12724,53,445,6,3.9889840465642745,6.100318952020064,1.9459101490553132,0
309,12725,24,164,372,3.2188758248682006,5.10594547390058,5.921578419643816,1
310,12726,124,3143,29,4.8283137373023015,8.053251153549096,3.4011973816621555,2
311,12727,139,2098,11,4.941642422609304,7.649216319820633,2.4849066497880004,2
312,12728,46,419,72,3.8501476017100584,6.040254711277414,4.290459441148391,3
313,12729,26,233,114,3.295836866004329,5.455321115357702,4.74493212836325,3
314,12731,274,8437,24,5.616771097666572,9.040500592684284,3.2188758248682006,2
315,12732,12,111,180,2.5649493574615367,4.718498871295094,5.198497031265826,1
316,12733,22,137,235,3.1354942159291497,4.927253685157205,5.4638318050256105,1
317,12734,4,88,353,1.6094379124341003,4.48863636973214,5.869296913133774,1
318,12735,43,368,316,3.784189633918261,5.910796644040527,5.75890177387728,3
319,12736,4,173,333,1.6094379124341003,5.159055299214529,5.811140992976701,1
320,12738,11,148,373,2.4849066497880004,5.003946305945459,5.924255797414532,1
321,12739,38,486,79,3.6635616461296463,6.18826412308259,4.382026634673881,3
322,12740,27,342,64,3.332204510175204,5.8377304471659395,4.174387269895637,3
323,12743,131,315,135,4.882801922586371,5.755742213586912,4.912654885736052,3
324,12744,222,5241,52,5.407171771460119,8.564458383883352,3.970291913552122,2
325,12747,103,1275,3,4.6443908991413725,7.151485463904735,1.3862943611198906,2
326,12748,4412,25287,1,8.392310009269547,10.138085253895454,0.6931471805599453,2
327,12749,199,1471,4,5.298317366548036,7.294377299288821,1.6094379124341003,2
328,12750,15,137,129,2.772588722239781,4.927253685157205,4.867534450455582,1
329,12752,53,2262,82,3.9889840465642745,7.724446645633537,4.418840607796598,3
330,12753,197,11421,23,5.288267030694535,9.343296599224809,3.1780538303479458,2
331,12754,63,6481,236,4.1588830833596715,8.776784383701493,5.4680601411351315,3
332,12755,4,1491,281,1.6094379124341003,7.307872780763706,5.641907070938114,1
333,12756,4,144,87,1.6094379124341003,4.976733742420574,4.477336814478207,1
334,12757,364,2395,16,5.8998973535824915,7.78155595923534,2.833213344056216,2
335,12758,97,2135,117,4.584967478670572,7.666690200080086,4.770684624465665,3
336,12759,95,902,53,4.564348191467836,6.805722553416985,3.9889840465642745,3
337,12762,69,1227,8,4.248495242049359,7.113142108707088,2.1972245773362196,2
338,12763,18,316,139,2.9444389791664403,5.75890177387728,4.941642422609304,1
339,12764,45,386,317,3.828641396489095,5.958424693029782,5.762051382780177,3
340,12766,310,3646,4,5.739792912179234,8.20166019080868,1.6094379124341003,2
341,12769,32,356,239,3.4965075614664802,5.877735781779639,5.480638923341991,3
342,12770,12,743,211,2.5649493574615367,6.612041034833092,5.356586274672012,3
343,12772,55,556,60,4.02535169073515,6.322565239927284,4.110873864173311,3
344,12775,66,877,18,4.204692619390966,6.777646593635117,2.9444389791664403,0
345,12778,50,825,20,3.9318256327243257,6.716594773520978,3.044522437723423,0
346,12779,149,2024,38,5.0106352940962555,7.613324979540639,3.6635616461296463,2
347,12781,25,671,64,3.258096538021482,6.51025834052315,4.174387269895637,3
348,12782,103,1086,5,4.6443908991413725,6.99117688712121,1.791759469228055,2
349,12783,84,624,3,4.442651256490317,6.437751649736401,1.3862943611198906,2
350,12784,57,280,10,4.060443010546419,5.638354669333745,2.3978952727983707,0
351,12785,14,131,365,2.70805020110221,4.882801922586371,5.902633333401366,1
352,12787,20,261,10,3.044522437723423,5.568344503761097,2.3978952727983707,0
353,12789,4,4,66,1.6094379124341003,1.6094379124341003,4.204692619390966,1
354,12790,21,166,193,3.091042453358316,5.117993812416755,5.267858159063328,1
355,12791,2,97,374,1.0986122886681098,4.584967478670572,5.926926025970411,1
356,12792,25,217,257,3.258096538021482,5.384495062789089,5.552959584921617,1
357,12793,24,295,335,3.2188758248682006,5.69035945432406,5.817111159963204,1
358,12794,45,592,54,3.828641396489095,6.385194398997726,4.007333185232471,3
359,12795,14,68,19,2.70805020110221,4.23410650459726,2.995732273553991,0
360,12797,13,118,366,2.6390573296152584,4.77912349311153,5.905361848054571,1
361,12798,8,5256,11,2.1972245773362196,8.567315800819449,2.4849066497880004,0
